"AREA_HA","CODIGO_VER","COD_DPTO","DESCRIPCIO","DPTOMPIO","FUENTE","NOMBRE_VER","NOMB_MPIO","NOM_DEP","OBJECTID","OBSERVACIO","SEUDONIMOS","VIGENCIA","cat","MOD2015A","MOD2015B","MOD2016A","MOD2016B","MOD2017A","MOD2017B","MOD2018A"
543.917036597,86219000,86,"EMPALMADO A LIMITE OFICIAL",86219,"ESRI - OCHA","SAN JUAN DE LAS COCHAS","SIBUNDOY","PUTUMAYO",15851,"",1,"INDF",15657,14.4482195419104,15.4282698064606,17.3876037750627,15.871965395259,15.4639261289799,16.5339164747171,15.2541598440546
202.242252513,86219005,86,"NULL",86219,"ESRI - OCHA","PLAYA EL CARMELO","COLÓN","PUTUMAYO",15852,"",1,"INDF",15658,11.3996529882299,12.6685978532115,13.885453402024,13.41231873398,12.5076344789538,13.1221184895839,9.68146211257035
2644.78639544,86320081,86,"EMPALMADO A LIMITE OFICIAL",86320,"ESRI - OCHA","LUCITAMBA","ORITO","PUTUMAYO",15859,"",1,"INDF",15665,21.8595095211641,22.3575913563715,22.9051975347982,22.1712049447512,22.8462199072524,22.8592539930201,22.9529453857118
577.170059667,86568022,86,"EMPALME CON CARTAGRAFIA OFICIAL",86568,"ESRI - OCHA","LA CAUCASIA","PUERTO ASÍS","PUTUMAYO",15944,"",1,"INDF",15750,23.9970784435848,24.5357131908853,26.2172696876689,24.7594214106386,25.1386361408634,25.2811640708589,25.0508003167704
151.308539983,86569050,86,"NULL",86569,"ESRI - OCHA","BRETAÑA","PUERTO CAICEDO","PUTUMAYO",16063,"",1,"INDF",15869,22.3791929863748,24.6589900046742,26.0482138044258,24.5906541195505,25.2396754433689,25.5524579332005,25.1665426828583
24477.0352496,86571136,86,"NULL",86571,"ESRI - OCHA","PUERTO RICO MARGARITAS","PUERTO GUZMÁN","PUTUMAYO",16125,"",1,"INDF",15930,24.013176195956,25.3041678091371,26.9656143824641,25.0729478767942,25.0831141565758,25.4045993283087,25.7115166800408
6802.22850997,86573112,86,"NULL",86573,"ESRI - OCHA","EL REFUGIO","PUERTO LEGUÍZAMO","PUTUMAYO",16265,"",1,"INDF",16070,24.4375268815171,25.1792815274584,26.6749195146715,25.1752980210225,24.8965147814515,25.3370340974766,25.7368620498759
262.509854437,86749001,86,"NULL",86749,"ESRI - OCHA","LEANDRO AGREDA","SIBUNDOY","PUTUMAYO",16398,"",1,"INDF",16203,11.8793201509777,11.7321509056537,13.4485254171456,12.9532310716859,12.599445820133,12.628414692662,10.4982478594013
5501.50860837,86755016,86,"NULL",86755,"ESRI - OCHA","BAJO POROTAL","SAN FRANCISCO","PUTUMAYO",16418,"",1,"INDF",16223,13.155133800093,13.8286499996811,13.9295996301126,14.5844189427532,14.1778431740379,13.6636612226004,12.4836546032974
266.709776214,86757025,86,"NULL",86757,"ESRI - OCHA","RESGUARDO SAN MARCELINO 1","SAN MIGUEL","PUTUMAYO",16434,"",1,"INDF",16239,23.7752572752549,25.4759262181705,25.8592984331855,24.9100376766166,25.4755249242999,25.6439924167239,24.6397171133198
132.241053262,86760014,86,"NULL",86760,"ESRI - OCHA","WILQUIPAMBA","SANTIAGO","PUTUMAYO",16494,"",1,"INDF",16299,12.3023099669708,11.5840142863963,12.98679079997,12.9796097658008,11.7930705365298,12.1654021896883,10.942290831042
792.49753047,86865042,86,"NULL",86865,"ESRI - OCHA","ALTO COMBOY","VALLE DEL GUAMUEZ","PUTUMAYO",16508,"",1,"INDF",16313,24.896146095856,25.3810216902929,25.7043272931112,24.7853659045062,25.5382649564268,25.5107268585544,25.167342915462
710.331417228,86885051,86,"NULL",86885,"ESRI - OCHA","LAS PLAYAS","VILLAGARZÓN","PUTUMAYO",16573,"",1,"INDF",16378,18.7179643169604,22.0292627359393,22.1346591644447,21.3227949851325,22.1069042466399,21.73127572347,22.5429456479035
89.5107662743,63190022,63,"NULL",63190,"EOT MPIO DE CIRCASIA","SANTA RITA","CIRCASIA","QUINDÍO",6141,"",1,"1999",6048,20.0374068287432,22.5634081788069,20.640507363366,20.5446336273135,19.3771197736624,20.0064186720379,20.1386836745239
4081.39366507,63302018,63,"NULL",63302,"POT GENOVA","SAN JUAN ALTO","GÉNOVA","QUINDÍO",6204,"",1,"2005",6111,14.7385545920031,16.4110972566046,15.582534334371,14.1141726442481,14.3300015434749,14.675092129153,14.0952670304291
1430.51466338,63470009,63,"CON CENTRO POBLADO",63470,"POT MONTENEGRO","PUEBLO TAPAO","MONTENEGRO","QUINDÍO",6231,"",1,"2007",6138,14.7385545920031,16.4110972566046,15.582534334371,14.1141726442481,14.3300015434749,14.675092129153,14.0952670304291
319.422925675,63272007,63,"NULL",63272,"POT MPIO DE FILANDIA","EL PARAISO","FILANDIA","QUINDÍO",6180,"",1,"2008",6087,19.8047559841433,21.2062636297719,20.2406573705968,20.0060255387373,18.7658787134194,19.6063342880713,19.6667521076574
