"AREA_HA","CODIGO_VER","COD_DPTO","DESCRIPCIO","DPTOMPIO","FUENTE","NOMBRE_VER","NOMB_MPIO","NOM_DEP","OBJECTID","OBSERVACIO","SEUDONIMOS","VIGENCIA","cat","SEMESTRE","TMEAN"
682.661366492,50318008,50,"CON CENTRO POBLADO",50318,"POT 2016","HUMEDEA","GUAMAL","META",17032,"",1,"2009",16830,"2016B",15.1353242852611
682.661366492,50318008,50,"CON CENTRO POBLADO",50318,"POT 2016","HUMEDEA","GUAMAL","META",17032,"",1,"2009",16830,"2017A",15.000340366053
682.661366492,50318008,50,"CON CENTRO POBLADO",50318,"POT 2016","HUMEDEA","GUAMAL","META",17032,"",1,"2009",16830,"2017B",15.5715922411568
682.661366492,50318008,50,"CON CENTRO POBLADO",50318,"POT 2016","HUMEDEA","GUAMAL","META",17032,"",1,"2009",16830,"2018A",16.2307154270064
2601.12976404,50325003,50,"NULL",50325,"POT_2011","CACHIVERA","MAPIRIPÁN","META",17050,"",1,"2009",16846,"2015A",26.8933429793882
2601.12976404,50325003,50,"NULL",50325,"POT_2011","CACHIVERA","MAPIRIPÁN","META",17050,"",1,"2009",16846,"2015B",26.6035816074981
2601.12976404,50325003,50,"NULL",50325,"POT_2011","CACHIVERA","MAPIRIPÁN","META",17050,"",1,"2009",16846,"2016A",27.9667550352785
2601.12976404,50325003,50,"NULL",50325,"POT_2011","CACHIVERA","MAPIRIPÁN","META",17050,"",1,"2009",16846,"2016B",25.90298313938
2601.12976404,50325003,50,"NULL",50325,"POT_2011","CACHIVERA","MAPIRIPÁN","META",17050,"",1,"2009",16846,"2017A",26.4059555760392
2601.12976404,50325003,50,"NULL",50325,"POT_2011","CACHIVERA","MAPIRIPÁN","META",17050,"",1,"2009",16846,"2017B",26.0990529320199
2601.12976404,50325003,50,"NULL",50325,"POT_2011","CACHIVERA","MAPIRIPÁN","META",17050,"",1,"2009",16846,"2018A",27.1242762871278
35865.9893965,50350056,50,"NULL",50350,"POT","EL TRIUNFO I","LA MACARENA","META",17161,"",1,"2009",16957,"2015A",25.797330078765
35865.9893965,50350056,50,"NULL",50350,"POT","EL TRIUNFO I","LA MACARENA","META",17161,"",1,"2009",16957,"2015B",26.033061059417
35865.9893965,50350056,50,"NULL",50350,"POT","EL TRIUNFO I","LA MACARENA","META",17161,"",1,"2009",16957,"2016A",27.5254821517949
35865.9893965,50350056,50,"NULL",50350,"POT","EL TRIUNFO I","LA MACARENA","META",17161,"",1,"2009",16957,"2016B",25.6650058422076
35865.9893965,50350056,50,"NULL",50350,"POT","EL TRIUNFO I","LA MACARENA","META",17161,"",1,"2009",16957,"2017A",25.5097608645044
35865.9893965,50350056,50,"NULL",50350,"POT","EL TRIUNFO I","LA MACARENA","META",17161,"",1,"2009",16957,"2017B",25.3336832411965
35865.9893965,50350056,50,"NULL",50350,"POT","EL TRIUNFO I","LA MACARENA","META",17161,"",1,"2009",16957,"2018A",26.8291179633548
27126.8953908,50370004,50,"NULL",50370,"POT","BRISAS DEL GUAYABERO","URIBE","META",17301,"",1,"2009",17097,"2015A",20.3752934119441
27126.8953908,50370004,50,"NULL",50370,"POT","BRISAS DEL GUAYABERO","URIBE","META",17301,"",1,"2009",17097,"2015B",20.9957820339277
27126.8953908,50370004,50,"NULL",50370,"POT","BRISAS DEL GUAYABERO","URIBE","META",17301,"",1,"2009",17097,"2016A",21.8147695497107
27126.8953908,50370004,50,"NULL",50370,"POT","BRISAS DEL GUAYABERO","URIBE","META",17301,"",1,"2009",17097,"2016B",20.2486735947227
27126.8953908,50370004,50,"NULL",50370,"POT","BRISAS DEL GUAYABERO","URIBE","META",17301,"",1,"2009",17097,"2017A",19.9075495166484
27126.8953908,50370004,50,"NULL",50370,"POT","BRISAS DEL GUAYABERO","URIBE","META",17301,"",1,"2009",17097,"2017B",20.266686696392
27126.8953908,50370004,50,"NULL",50370,"POT","BRISAS DEL GUAYABERO","URIBE","META",17301,"",1,"2009",17097,"2018A",20.9473159683174
806.230125919,50400022,50,"CON CENTRO POBLADO",50400,"EOT","INSPECCION CACAYAL","LEJANÍAS","META",17359,"",1,"2009",17154,"2015A",17.1302235677406
806.230125919,50400022,50,"CON CENTRO POBLADO",50400,"EOT","INSPECCION CACAYAL","LEJANÍAS","META",17359,"",1,"2009",17154,"2015B",16.4940447790693
806.230125919,50400022,50,"CON CENTRO POBLADO",50400,"EOT","INSPECCION CACAYAL","LEJANÍAS","META",17359,"",1,"2009",17154,"2016A",18.2199956616359
806.230125919,50400022,50,"CON CENTRO POBLADO",50400,"EOT","INSPECCION CACAYAL","LEJANÍAS","META",17359,"",1,"2009",17154,"2016B",16.2445839021142
806.230125919,50400022,50,"CON CENTRO POBLADO",50400,"EOT","INSPECCION CACAYAL","LEJANÍAS","META",17359,"",1,"2009",17154,"2017A",16.5443870027714
806.230125919,50400022,50,"CON CENTRO POBLADO",50400,"EOT","INSPECCION CACAYAL","LEJANÍAS","META",17359,"",1,"2009",17154,"2017B",16.5101997737891
