date,AVG(Temp),AVG(Press),AVG(Cond),AVG(Salinity),AVG(DO),AVG(rawO2),AVG(OxySat),AVG(pH),AVG(Redox)
21/04/2015 0:05,9.410735628,8.921523191,0.047230005,0.032748372,12.26751589,729.44032,107.513878,7.337692541,533.87431
22/04/2015 0:03,9.629541968,9.007051718,0.047472814,0.03282266,12.40853085,736.7450256,109.3753413,7.348249005,532.812468
23/04/2015 0:03,10.62683613,8.922610777,0.048583915,0.033103968,12.99019336,764.5416834,117.4072714,7.40659316,517.151703
24/04/2015 0:03,10.79256731,9.049386163,0.049240368,0.033435016,12.99024313,762.4248857,117.9693025,7.361302916,519.4201938
25/04/2015 0:02,11.14333473,9.048609747,0.049248474,0.033309632,13.14899053,768.7572525,120.4358788,7.441332226,511.4746641
26/04/2015 0:03,11.11217928,8.888154328,0.049304037,0.033349291,13.11784394,767.1866707,120.0330925,7.436265989,516.0791388
27/04/2015 0:02,11.25210321,8.972834487,0.049669995,0.033512931,13.10162775,766.685853,120.1428077,7.478641524,517.2314014
28/04/2015 0:03,10.90802322,9.054493676,0.049542782,0.033570532,12.75562061,747.7962231,116.1651248,7.370803739,526.6181612
29/04/2015 0:04,11.08554479,9.085173878,0.04960968,0.033542512,12.94203711,756.3969184,118.4513739,7.386912942,525.3696654
30/04/2015 0:05,11.57218813,9.103100492,0.04985536,0.033493497,13.28799954,773.0303309,122.9723936,7.50191355,509.5508121
01/05/2015 0:04,11.75911954,9.046613844,0.050207839,0.033626473,13.30792963,772.6875256,123.6620153,7.520497172,509.861238
02/05/2015 0:05,11.67704185,9.033021271,0.050435394,0.033792888,13.12647581,762.0779926,121.8141457,7.405296154,518.6745487
03/05/2015 0:04,11.688903,9.107504037,0.050431296,0.033786418,13.08339035,758.2535323,121.6026801,7.387676497,527.4354423
04/05/2015 0:05,11.68488216,8.915371799,0.050422127,0.033784524,12.96790273,751.5944214,120.5415102,7.335925947,530.6331986
05/05/2015 0:05,12.60864994,8.278640378,0.051550561,0.034077409,13.61061703,781.8959913,128.91416,7.571997683,515.8943455
06/05/2015 0:05,12.20746514,8.932673615,0.051064901,0.033931755,13.17041599,758.5017633,123.9052068,7.458909859,530.0106031
07/05/2015 0:05,12.18872661,9.035368628,0.051347191,0.03411517,13.06910684,751.2684927,123.1211949,7.324353011,536.9760451
08/05/2015 0:04,12.94235053,8.940116395,0.052493679,0.034464305,13.67400048,777.5909678,130.9864384,7.522176847,515.6363527
09/05/2015 0:05,12.8285066,8.925407206,0.052654381,0.034593005,13.48042752,766.1600058,128.9705475,7.402557159,531.1062252
10/05/2015 0:05,12.72355431,8.901655911,0.052366456,0.034473183,13.30392377,756.5928687,127.155817,7.29302755,552.4062544
11/05/2015 0:06,12.3050839,9.132440549,0.051859643,0.034358385,12.86354066,739.564048,121.4215106,7.213929962,574.9828699
12/05/2015 0:05,12.74308621,8.832864933,0.052763446,0.034709072,13.45708766,765.1575702,128.7442587,7.326472436,569.4699399
13/05/2015 0:05,13.87603494,8.860388904,0.054528176,0.035184457,14.36219812,787.8120237,142.4597247,7.418483122,557.3680693
14/05/2015 0:04,14.86832554,9.066916382,0.055768661,0.035413436,14.94362387,800.755195,151.6578234,7.62001497,535.8631474
15/05/2015 0:06,14.46664881,8.158785888,0.054793761,0.035060954,14.01019383,763.6308185,140.1663709,7.536451152,567.7635546
16/05/2015 0:05,13.77873818,8.806652139,0.053822139,0.03488134,13.34323866,746.5270021,130.4966846,7.364291649,611.1430416
17/05/2015 0:04,13.34584361,8.805340036,0.053006985,0.034611969,12.96927764,733.0389044,125.4191187,7.261238692,631.6819696
18/05/2015 0:05,13.92285886,8.612906385,0.054242766,0.035056448,13.47447884,750.1850996,132.4775694,7.265953797,629.6302516
19/05/2015 0:04,13.6081319,8.811790333,0.053801728,0.034939595,13.03474678,731.3761449,127.0432976,7.39145459,637.8375131
20/05/2015 0:05,12.96119759,8.78626013,0.052266523,0.034369596,12.40278547,708.6592372,118.6262927,7.334260067,649.7961944
21/05/2015 0:04,13.05276169,8.72338199,0.052506672,0.034478224,12.47237244,712.1386331,119.4911198,7.317120896,646.0012563
22/05/2015 0:05,12.84261368,8.790517704,0.052303719,0.034445311,12.31597659,705.4771448,117.4435249,7.313068209,641.0298944
23/05/2015 0:05,8.803479418,24.93658612,0.048081332,0.033574892,8.290502985,494.3516956,71.98729041,6.996981806,590.6888833
24/05/2015 0:09,7.48647826,30.24117,0.060743083,0.042983938,0.772563167,46.16495303,6.448959177,7.222249823,20.41039927
25/05/2015 0:09,11.35268515,14.80144236,0.068477447,0.046376738,7.811404699,444.3432792,75.4840513,7.491864767,232.5946104
26/05/2015 0:00,14.41972236,4.267724615,0.055293583,0.035517729,13.58247233,764.6708673,133.222236,7.720928208,468.9982519
27/05/2015 0:01,13.16999641,8.704722229,0.053579193,0.035041047,12.45963676,710.7689485,119.6749961,7.511403729,488.0673447
28/05/2015 0:04,13.22150039,8.773431211,0.054073129,0.035302278,12.66764276,721.4103041,121.9245531,7.502031479,500.182539
29/05/2015 0:04,13.20832065,8.863141432,0.054278074,0.035419842,12.73982265,725.6267469,122.590818,7.536088526,510.3351597
30/05/2015 0:05,13.28712334,8.848745544,0.054663877,0.035613,12.75093351,725.075579,122.9713054,7.528997728,518.2022285
31/05/2015 0:04,13.85936346,8.918485555,0.055461005,0.03579699,13.25516814,741.9992069,130.0156144,7.589289424,520.7773164
01/06/2015 0:04,14.52123145,8.873539078,0.056462668,0.036040788,13.78441346,756.6602721,137.8353347,7.602086917,520.3555236
02/06/2015 0:04,14.56343931,8.940127016,0.056673016,0.036124495,13.79382305,755.5195694,138.199344,7.539178905,522.7619182
03/06/2015 0:04,14.38840464,8.50126463,0.056385158,0.036064511,13.76953004,760.8898081,136.9326042,7.545864891,526.0605488
04/06/2015 0:05,14.56755289,8.766437371,0.056749376,0.036188098,13.89218561,764.2642416,138.8108858,7.593394454,527.033423
